d(1~2),d(2~3),d(3~4),d(1~4),d(5~6),d(6~7),d(7~8),d(5~8),d(9~10),d(10~11),d(11~12),d(9~12),d(13~14),d(14~15),d(15~16),d(13~16),d(17~18),d(18~19),d(19~20),d(17~20),g(1~2),g(2~3),g(3~4),g(1~4),g(5~6),g(6~7),g(7~8),g(5~8),g(9~10),g(10~11),g(11~12),g(9~12),g(13~14),g(14~15),g(15~16),g(13~16),g(17~18),g(18~19),g(19~20),g(17~20),label
27.0185,20.1246,17.2047,55.3624,20.8087,25.0799,11.1803,26.9258,20.2237,32,8.0623,32.311,19.105,29.0689,8,33.6155,16.0312,19.6469,5.6569,27.8029,-1.2353,-2,1.4,-3.3125,-0.7059,12.5,-2,1.6429,-0.15,0,-0.125,2.5,0.1053,14.5,0,2.3846,-0.0625,3.8,-1,1.2941,0
27.0185,20.5913,15.2643,55.3624,18.6011,23.3452,12.6491,28.3019,18.0278,31.0644,6.3246,34.9285,18.6815,27.1662,7.2801,36.7696,15,18.9737,5.6569,27.8029,-1.2353,-1.8,1.625,-2.7368,-0.7333,5.75,-3,1.6,-0.0556,15.5,-0.3333,2.2857,0.2778,9,-0.2857,2.4286,0,3,-1,1.2941,0
28.6007,20.5913,12.2066,54.7814,21.9317,20.6155,16.0312,23.4307,16.2788,30.8058,6.4031,28.3019,13.6015,26.6833,6.7082,28.178,12.8062,18.7883,5,19.8494,-1.3529,-1.8,1.4286,-2.55,-2.2222,2.375,16,0.8333,-0.9167,4.2857,-1.25,1.6,-0.3077,4.3333,-0.5,1.9231,-0.8,2.125,-1.3333,0.8667,0
28.0179,23.0868,17.2047,60.4152,25.0799,24.3311,15.0333,14.8661,21.2132,32.7567,8.2462,20.6155,13.6015,28.8617,5.831,21.5407,14.3178,19.6977,5,14.2127,-1.4375,-3.1429,1.4,-4.5385,-12.5,6,-15,2.8,-7,4.5714,-4,2.375,-3.25,4,-1.6667,2.5,-4.6667,2.25,0,0.8182,0
26.9258,20.8806,15.6205,53.6004,24.1868,21.2132,15.0333,13,21.095,31.7805,8.544,18.9737,11.4018,27.8927,4.4721,21.5407,12.3693,17.8885,4.1231,12.8062,-1.6429,-3.3333,0.8333,-6.625,-8,7,-15,2.4,-10.5,4.4286,-2.6667,3,-3.6667,3.8571,-2,2.5,-4,2,-4,0.8,0
26.9258,21.587,15,53.4603,24.3311,21.095,15.0333,13,19.4165,30.2655,7.2801,18.9737,11.7047,26.6833,5,20.2485,13.3417,18.3848,4.1231,12.0416,-1.6429,-4.2,0.75,-7.5714,-6,10.5,-15,2.4,-4.75,7.5,-3.5,3,-2.75,4.3333,-1.3333,2.7143,-4.3333,2.4286,-4,0.8889,0
23.3238,20.0998,15.6205,50.04,21.0238,19.0263,13.0384,11.0454,18.0278,29.6142,6,17.72,10.198,24.0416,3.1623,17.088,12.0416,17.088,3.6056,9.8995,-1.6667,-10,0.8333,-25,21,19,13,11,18,4.8333,0,3.4,5,3.2857,3,2.6667,12,2.6667,1.5,1,0
23.3238,20.0998,17.0294,51.0098,21.0238,17.0294,14.0357,10.0499,15.1327,28.4429,3.6056,16.7631,11.1803,24.7386,3.1623,15.6525,12.1655,17.088,5.6569,11.3137,-1.6667,-10,0.8462,-51,21,17,14,10,7.5,5.6,1.5,3.2,5.5,4,0.3333,2,6,2.6667,1,1,0
24.1868,21.0238,16.2788,53.0094,21.095,19.0263,12.0416,10,15.2971,28.4429,2.8284,15.5242,10.4403,24.7386,3.1623,14.3178,10.4403,17.088,5,11.4018,-1.75,-21,0.9167,-53,10.5,19,12,0,5,5.6,1,3.75,3.3333,4,-0.3333,2.1667,3.3333,2.6667,0.75,1.2857,0
23.3238,20.0998,16.2788,51.0392,21.3776,19.0263,15.1327,13.3417,19.4165,28.1603,8.9443,17.2627,12.6491,23.5372,5,14.8661,12.3693,15.5242,5.6569,8.6023,-1.6667,-10,0.9167,-25.5,5.25,-19,7.5,-4.3333,4.75,9.3333,2,5.6667,3,4.6,0.75,2.8,4,3.75,1,1.4,0
